На коя дата започва Втора световна война:,01.09,04.11,12.03,26.09,
През коя година България се включва официално в Първа световна война:,1915,1914,1929,1917,
През коя година избухва Първо Търновско въстание:,1598,1686,1599,1639,
През коя година избухва Второ Търновско въстание:,1686,1598,1688,1700,
През коя година САЩ бомбардира с атомна бомба Хирошима и Нагазаки:,1945,1944,1943,1942,
През коя година се извършва десантът в Нормандия:,1944,1945,1929,1988,
През коя година е написан Ньойския мирен договор:,1919,1918,1920,1999,
На коя дата умира Цар Борис 3ти:,28.08,30.02,13.11,16.12,
През коя година избухва Априлското въстание:,1876,1977,1877,1920,
През коя година избухва Старозагорското въстание:,1875,1957,1877,2006
