Кой от компонентите най-много отговаря за скоростта на компютъра:,Процесора,Дъното,Видео картата,Захранването
Кой от компонентите има система за сертификация позната като 80+:,Захранването,Дъното,Паметта,Процесора
Кой от кабелите се използва за предаване на видео сигнал:,HDMI,Ethernet,USB Type B,Micro USB
Кое е най-новото поколение Intel Core процесори:,12,11,13,9
Кое е най-новото поколение Amd  видео карти:,6000,5000,7000,500
Коя от компаниите е известна със своите SSD:,Corsair,Nvidia,Amd,Cougar
През коя година е създаден първият компютър:,1942,1987,1912,2000
Кой вид охлаждане е най-ефикасно:,Water Cooling,AIO,Fan Cooler,Passive Cooling
Колко пъти ще се побере Full HD резолюция във 8K монитор:,16,8,4,10
Кой компонент е най-важен за FPS(кадри в секунда):,Видео Карта,Процесор,Памет,Захранване
