Коя година е пикът на българския футбол:,1994,2022,1930,1976
Колко см е скока на Стефка Костадинова:,209,302,193,269
Кой е единственият български футболист да спечели златната топка:,Христо Стоичков,Валери Божинов,Димитър Бербатов,Никола Стефанов
Кой е най-успешният български тенесист:,Григор Димитров,Александър Донски,Антъни Генов,Виктория Томова
Кой е бил съотборник на Валери Божинов във Манчестър Сити:,Мартин Петров,Димитър Бербатов,Христо Стоичков,Георги Георгиев
През коя година България играе последно на световно:,!998,1994,2002,2004
Кой беше отбора на Бербатов преди да отиде в Манчестър Юнайтед:,Тотнъм,Фулъм,Челси,Левски
Кой беше треньора на Светкавица Търговище през последният им сезон в А група:,Пламен Донев,Димитър Бербатов,Вестислав Господинов,Георги Георгиев
Срещу кой италиански отбор игра Лудогорец през 2020:,Интер,Милан,Фиорентина,Наполи
Кой е бивш играч на баскетболният отбор на Барселона:,Александър Везенков,Кристиан Филев,Явор Овчаров,Алекс Александров
