Кой е създателят на Minecraft сървъра Пакта:,Aethelthryth,Dido_D,HeavenBul,Znaka
С кой жанр игри е асоцииран най-често NoThxTv:,Страшни,Екшън,Спортни,Фентъзи
Коя от следните игри не е направена от българска компания:,Tzar,Lady Popular,Game Of Emperors,Call Of Duty
Коя от следните игри е направена със помощта на български програмисти:,Assasin's Creed IV,Minecraft,Team Fortress 2,Fortnite
Коя от следните игри не е преведена на български език:Diablo 3,Minecraft,Prey,Football Manager 2011
Кой е създателят на компанията за игри Haemimont Games:,Габриел Добрев,Иван Николов,Георги Дончев,Кристиян Кирилов
Кой от следните сайтове за игри е български:,Zamunda,PirateBay,Steam,Origin
Какъв е българският превод на блока Dispenser от българският превод на Minecraft:,Разпределител,Бутало,Верига,Скеле
Кой е първият български гейминг ютубър да достигне 1 милион абоната във Ютуб:,Никой,Bodil4o,The Clashers,Aethelthryth
Колко е рейтинга на най-добрата версия на Стоичков във Фифа 22:,93,92,95,90

